District,Corridor,Fwy-Dir,From CA PM,To CA PM,Length,HOV/HOT,Mainline,Difference,HOV/HOT %
4,01: 880-980-24,I880-N,31.525,R31.803,  12.5,,12.00,-12,0
4,01: 880-980-24,SR24-W,R6.152,R1.847,  12.5,,12.00,-12,0
4,01a: 880-980-24-13,SR13-N,T9.762,5.262,   4.5,,4.00,-4,0
4,01a: 880-980-24-13,SR13-S,4.262,9.012,   4.8,,4.00,-4,0
4,02: I-580,I580-E,5.758,47.795,   6.0,,6.00,-6,0
4,02: I-580,I580-W,47.865,5.828,   6.0,,6.00,-6,0
4,02: I-80,I80-E,3.82,0.234,   4.5,6.00,5.00,1,120
4,02: I-80,I80-W,0.234,3.82,   4.5,6.00,6.00,0,100
4,03: I-880,I880-N,13.021,20.653,   7.6,9.00,9.00,0,100
4,03: I-880,I880-S,20.653,13.021,   7.6,9.00,9.00,0,100
4,03: SR 92,SR92-E,R4.353,6.227,   1.9,,2.00,-2,0
4,03: SR 92,SR92-W,6.477,R4.353,   2.1,2.00,2.00,0,100
4,04: 880-238,SR238-N,R14.719,16.577,  12.2,,13.00,-13,0
4,04: 880-238,I880-S,31.025,20.653,  12.2,13.00,13.00,0,100
4,05a: 24-680,I680-N,R0.067,24.496,  24.6,25.00,24.00,1,104
4,05a: 24-680,I680-S,24.417,R0.032,  24.6,23.00,24.00,-1,96
4,05b: 680,SR24-E,R4.402,9.092,   4.7,,5.00,-5,0
4,05b: 680,SR24-W,9.092,R4.402,   4.7,,4.00,-4,0
4,06: 101,SR92-E,R12.154,R13.584,   1.4,,1.00,-1,0
4,06: 101,SR92-W,R13.584,R12.154,   1.4,,1.00,-1,0
4,06x: 101-92,US101-S,25.777,12.097,  14.9,,14.00,-14,0
4,06x: 101-92,SR92-W,R13.524,R12.304,  14.9,,14.00,-14,0
4,07: 101-92,US101-S,17.897,12.097,   7.0,,7.00,-7,0
4,07: 101-92,SR92-W,R13.524,R12.304,   7.0,,7.00,-7,0
4,08: 101-237,US101-N,R28.609,47.043,  18.8,17.00,18.00,-1,94
4,08: 101-237,US101-S,47.006,R28.572,  18.8,20.00,19.00,1,105
4,09: I-280,I280-N,R0.18,11.018,  12.2,11.00,11.00,0,100
4,09: I-280,I280-S,11.018,R0.18,  12.2,13.00,13.00,0,100
4,09: SR 87,SR87-N,0,9.053,   7.2,7.00,7.00,0,100
4,09: SR 87,SR87-S,9.053,0,   7.2,7.00,7.00,0,100
4,10: 101-85,SR85-N,R21.324,R23.824,  18.6,18.00,18.00,0,100
4,10: 101-85,US101-S,11.677,48.127,  18.6,16.00,18.00,-2,89
4,11: Hwy 101,US101-N,25.833,R4.396,   4.7,,5.00,-5,0
4,11: Hwy 101,US101-S,R4.359,25.796,   4.7,,4.00,-4,0
4,11: I-280,I280-N,R0.039,R4.039R,   4.0,,4.00,-4,0
4,11: I-280,I280-S,R4.027L,R0.027,   4.0,,4.00,-4,0
4,11b: 80E,I80-E,L3.786,5.06,   1.5,,,0,
4,11b: 80E,I80-W,5.06,L3.786,   1.5,,,0,
4,12: I-80,I80-E,0.244,12.754,  12.5,15.00,13.00,2,115
4,12: I-80,I80-W,12.754,0.244,  12.5,13.00,13.00,0,100
4,13: Alameda I-80,I80-E,1.989               ,14.139              ,  20.2,25.00,22.00,3,114
4,13: Alameda I-80,I80-W,14.139              ,1.989               ,  20.2,22.00,23.00,-1,96
4,13: Hwy 101,US101-N,R22.506,18.506,   4.0,3.00,4.00,-1,75
4,13: Hwy 101,US101-S,R22.71,18.71,   4.0,4.00,4.00,0,100
4,13: I-580,I580-E,1.888,4.288,   2.4,,2.00,-2,0
4,13: I-580,I580-W,4.358,1.958,   2.4,,2.00,-2,0
4,14: I-580,I580-E,0.393               ,R30.807             ,  30.5,31.00,30.00,1,103
4,14: I-580,I580-W,R30.807             ,0.393               ,  30.6,,30.00,-30,0
4,14: I-880,I880-N,8.42,13.063,  14.9,14.00,15.00,-1,93
4,14: I-880,I880-S,13.063,8.42,  14.9,15.00,16.00,-1,94
4,14: SR 84,SR84-N,R3.76,R6.01,   2.3,,3.00,-3,0
4,14: SR 84,SR84-S,R6.01,R3.76,   2.3,2.00,2.00,0,100
4,15: Hwy 101,US101-N,5.277,26.844,  21.6,20.00,21.00,-1,95
4,15: Hwy 101,US101-S,27.048,5.481,  21.6,20.00,21.00,-1,95
4,15: I-880,I880-N,R0.000              ,10.502              ,  20.7,19.00,20.00,-1,95
4,15: I-880,I880-S,10.502              ,R0.000              ,  20.7,20.00,21.00,-1,95
4,16: SR 17,SR17-N,7.047,12.4,   7.2,,7.00,-7,0
4,16: SR 17,SR17-S,12.4,7.047,   7.2,,7.00,-7,0
4,16: Sonoma US-101,US101-N,L0.000              ,R54.201             ,  81.6,75.00,77.00,-2,97
4,16: Sonoma US-101,US101-S,R54.201             ,L0.000              ,  81.6,76.00,77.00,-1,99
4,17: Santa Clara US-101,US101-N,R26.834             ,26.107              ,  52.2,49.00,50.00,-1,98
4,17: Santa Clara US-101,US101-S,26.107              ,R26.834             ,  52.2,50.00,51.00,-1,98
4,18: I-880,I880-N,8.36,7.123,   9.0,8.00,9.00,-1,89
4,18: I-880,I880-S,7.123,8.36,   9.0,8.00,9.00,-1,89
4,18: SR24,SR24-E,R1.847              ,9.144               ,  13.5,,14.00,-14,0
4,18: SR24,SR24-W,9.144               ,R1.847              ,  13.5,,12.00,-12,0
4,19: 237-880-17,SR237-E,M1.82,9.318,  20.6,18.00,19.00,-1,95
4,19: 237-880-17,SR1-N,74.937              ,R89.989             ,  15.0,,14.00,-14,0
4,19: Solano I-80,I80-E,0.000               ,42.67               ,  42.7,,41.00,-41,0
4,19: Solano I-80,I80-W,42.67               ,0.000               ,  42.7,38.00,40.00,-2,95
4,20: 280-380,I280-S,R1.757,R21.213,   9.6,,12.00,-12,0
4,20: 280-380,I380-W,6.353,T4.703,  10.1,,8.00,-8,0
4,20A: SR-4,SR4-E,0.000               ,31.130              ,  31.2,31.00,29.00,2,107
4,20A: SR-4,SR4-W,31.130              ,0.000               ,  31.2,34.00,30.00,4,113
4,20B: SR-12,SR12-E,0.0                 ,26.393              ,  30.7,,30.00,-30,0
4,20B: SR-12,SR12-W,26.393              ,0.0                 ,  30.7,,29.00,-29,0
4,21: I-680,I680-N,R6.449,R0.057,  15.0,13.00,14.00,-1,93
4,21: I-680,I680-S,R0.022,R6.403,  15.0,14.00,14.00,0,100
4,22: I-580,I580-E,R21.436,R1.505,  20.0,21.00,19.00,2,111
4,22: I-580,I580-W,R1.618,R21.588,  20.0,,20.00,-20,0
4,23: I-680,I680-N,M0.015,R6.469,  16.5,,16.00,-16,0
4,23: I-680,I680-S,R6.42,M0.015,  16.5,15.00,16.00,-1,94
4,24: 680-780,I780-E,7.282,0.782,  18.3,,17.00,-17,0
4,24: 680-780,I680-S,R11.838,M0.797L,  18.3,,18.00,-18,0
4,25a: SR-4,SR4-E,12.771,R29.005,  16.2,17.00,15.00,2,113
4,25a: SR-4,SR4-W,R29.005,12.771,  16.2,21.00,16.00,5,131
4,25b: SR-242,SR242-N,L0,R3.331,   3.6,,4.00,-4,0
4,25b: SR-242,SR242-S,R3.331,L0,   3.6,,4.00,-4,0
4,26: I-580,I580-E,44.317,R30.856,  13.5,,13.00,-13,0
4,26: I-580,I580-W,R30.704,44.165,  13.5,,13.00,-13,0
4,26a: 13,SR13-N,5.382,4.262,   1.1,,,0,
4,26a: 13,SR13-S,4.262,5.382,   1.1,,,0,
4,27: I-580,I580-E,R30.724,R21.436,   9.2,,9.00,-9,0
4,27: I-580,I580-W,R21.588,R30.876,   9.2,,9.00,-9,0
4,28: Hwy 101,US101-S,5.461,19.255,  18.9,,18.00,-18,0
4,28: Hwy 101,SR37-W,2.059,R11.45,  19.4,18.00,18.00,0,100
4,29: I-80,I80-E,1.748,15.767,  14.0,,13.00,-13,0
4,29: I-80,I80-W,15.767,1.748,  14.0,12.00,13.00,-1,92
4,29a: -12-29-121,SR29-S,10.361,4.715,  11.8,,7.00,-7,0
4,29a: -12-29-121,SR12-W,R2.74,0.008,  11.8,,17.00,-17,0
4,29b: 121 to Napa Rd,SR121-N,R10.674,R4.396,   5.3,,,0,
4,29b: 121 to Napa Rd,SR121-S,R4.396,R10.674,   5.3,,,0,
4,29c: 37,SR37-E,1.685,R11.807,  10.1,,9.00,-9,0
4,29c: 37,SR37-W,R11.807,1.685,  10.1,,17.00,-17,0
4,29d: I-680,I680-N,R10.156,12.824,   2.0,,2.00,-2,0
4,29d: I-680,I680-S,12.738,R10.071,   2.0,,2.00,-2,0
4,29e: SR-29,SR29-N,4.87,24.602,  25.6,,23.00,-23,0
4,29e: SR-29,SR29-S,24.602,4.87,  25.6,,23.00,-23,0
4,29f: I-780,I780-E,7.282,6.282,   1.0,,1.00,-1,0
4,29f: I-780,I780-W,6.282,7.282,   1.0,,1.00,-1,0
4,30: 92-280,I280-S,R21.014,10.704,  15.3,,15.00,-15,0
4,30: 92-280,SR92-W,R12.304,R7.344,  15.3,,14.00,-14,0
4,31: Hwy 101,US101-S,R23.342,R7.492,  15.9,17.00,17.00,0,100
4,31: Hwy 101,US101-S,R7.492,R23.342,  15.9,17.00,17.00,0,100
4,32: SR-85,SR85-N,R21.734,1.98,  19.9,18.00,19.00,-1,95
4,32: SR-85,SR85-S,1.98,R21.734,  19.9,20.00,20.00,0,100
4,32a: 17,SR17-N,0.117,9.357,   9.2,,9.00,-9,0
4,32a: 17,SR17-S,9.357,0.117,   9.2,,9.00,-9,0
4,33: I-280,I280-N,15.368,10.211,  20.8,,19.00,-19,0
4,33: I-280,SR92-W,R12.774,R7.774,  21.3,,19.00,-19,0
4,34: I80,I80-E,16.164,0.23,  28.8,,27.00,-27,0
4,34: I80,I80-W,0.23,16.164,  28.8,,27.00,-27,0
4,35: I-680,I680-N,R21.792,R10.328,  10.4,10.00,10.00,0,100
4,35: I-680,I680-S,R10.328,R21.792,  10.4,10.00,10.00,0,100
4,36: SR-4,SR4-E,R8.501,R15.471,   6.4,,6.00,-6,0
4,36: SR-4,SR4-W,R15.471,R8.501,   6.4,,6.00,-6,0
4,37: I-80,I80-E,R27.719,0.323,  17.3,,16.00,-16,0
4,37: I-80,I80-W,0.323,R27.719,  17.3,,17.00,-17,0
4,TMS_I80,I80-E,3.719,13.606,  17.9,21.00,20.00,1,105
4,TMS_I80,I80-W,13.606,3.719,  17.9,20.00,20.00,0,100
4,TMS_I80_old,I80-E,0.104,13.454,  13.4,15.00,14.00,1,107
4,TMS_I80_old,I80-W,13.454,0.104,  13.4,14.00,14.00,0,100
4,X10: 101-85,SR85-N,0,R21.324,  38.7,37.00,37.00,0,100
4,X10: 101-85,US101-S,11.677,46.987,  38.7,37.00,37.00,0,100
